feature,split_score,gain_score
feature_1,100.0,100.0
feature_2,100.0,100.0
feature_3,95.0,99.0
ref_anchor_diff,100.0,100.0
active_ref_diff,100.0,100.0
hist_pur_ref_diff_min,100.0,100.0
hist_pur_ref_diff_max,100.0,100.0
hist_pur_ref_diff_mean,100.0,100.0
hist_pur_ref_diff_median,64.5,100.0
hist_pur_ref_diff_sum,100.0,100.0
hist_pur_ref_diff_std,99.5,100.0
new_pur_ref_diff_min,86.0,100.0
new_pur_ref_diff_max,100.0,100.0
new_pur_ref_diff_mean,100.0,100.0
new_pur_ref_diff_median,29.5,100.0
new_pur_ref_diff_sum,85.0,100.0
new_pur_ref_diff_std,100.0,100.0
hist_pur_date_delta_min,2.5,8.5
hist_pur_date_delta_max,68.0,100.0
hist_pur_date_delta_mean,88.5,100.0
hist_pur_date_delta_median,22.5,79.0
hist_pur_date_delta_std,98.5,100.0
new_pur_date_delta_min,0.0,21.5
new_pur_date_delta_max,4.0,99.5
new_pur_date_delta_mean,100.0,100.0
new_pur_date_delta_median,94.0,100.0
new_pur_date_delta_std,0.0,79.0
hist_category_2_nunique,16.0,55.5
hist_category_2_0_sum,96.5,100.0
hist_category_2_0_mean,95.0,99.0
hist_category_2_1_sum,84.5,100.0
hist_category_2_1_mean,62.5,100.0
hist_category_2_2_sum,5.0,25.0
hist_category_2_2_mean,33.5,99.5
hist_category_2_3_sum,0.5,9.5
hist_category_2_3_mean,0.5,15.0
hist_category_2_4_sum,63.0,99.5
hist_category_2_4_mean,34.0,98.5
hist_category_2_5_sum,0.5,13.5
hist_category_2_5_mean,1.0,67.5
new_category_2_nunique,7.5,20.0
new_category_2_0_sum,0.5,10.0
new_category_2_0_mean,11.0,32.5
new_category_2_1_sum,0.0,0.0
new_category_2_1_mean,3.0,35.5
new_category_2_2_sum,0.0,0.0
new_category_2_2_mean,25.5,59.0
new_category_2_3_sum,0.0,0.0
new_category_2_3_mean,0.0,7.0
new_category_2_4_sum,0.5,68.5
new_category_2_4_mean,4.0,76.0
new_category_2_5_sum,0.0,7.5
new_category_2_5_mean,1.5,57.0
hist_category_2_nunique_mean,54.0,100.0
hist_category_2_0_sum_mean,92.0,100.0
hist_category_2_0_mean_mean,84.0,100.0
hist_category_2_1_sum_mean,2.5,96.5
hist_category_2_1_mean_mean,31.5,100.0
hist_category_2_2_sum_mean,18.5,46.5
hist_category_2_2_mean_mean,9.0,68.0
hist_category_2_3_sum_mean,0.5,69.5
hist_category_2_3_mean_mean,2.0,13.5
hist_category_2_4_sum_mean,1.0,65.0
hist_category_2_4_mean_mean,71.5,100.0
hist_category_2_5_sum_mean,0.5,67.0
hist_category_2_5_mean_mean,0.5,25.0
hist_category_2_nunique_std,46.0,100.0
hist_category_2_0_sum_std,99.5,100.0
hist_category_2_0_mean_std,22.5,88.5
hist_category_2_1_sum_std,24.5,100.0
hist_category_2_1_mean_std,74.5,100.0
hist_category_2_2_sum_std,27.0,73.0
hist_category_2_2_mean_std,25.5,86.5
hist_category_2_3_sum_std,13.0,11.5
hist_category_2_3_mean_std,0.0,0.5
hist_category_2_4_sum_std,7.0,53.5
hist_category_2_4_mean_std,1.0,38.5
hist_category_2_5_sum_std,0.0,6.5
hist_category_2_5_mean_std,0.0,22.5
new_category_2_nunique_mean,6.0,80.5
new_category_2_0_sum_mean,46.5,95.5
new_category_2_0_mean_mean,15.5,96.0
new_category_2_1_sum_mean,49.5,91.5
new_category_2_1_mean_mean,0.0,3.5
new_category_2_2_sum_mean,10.5,69.5
new_category_2_2_mean_mean,0.0,0.0
new_category_2_3_sum_mean,0.0,1.0
new_category_2_3_mean_mean,0.0,8.0
new_category_2_4_sum_mean,9.0,31.5
new_category_2_4_mean_mean,0.0,1.0
new_category_2_5_sum_mean,4.0,19.0
new_category_2_5_mean_mean,4.5,22.0
new_category_2_nunique_std,34.0,88.0
new_category_2_0_sum_std,19.5,54.5
new_category_2_0_mean_std,31.0,26.0
new_category_2_1_sum_std,0.0,3.0
new_category_2_1_mean_std,0.0,0.5
new_category_2_2_sum_std,0.0,0.0
new_category_2_2_mean_std,0.0,0.0
new_category_2_3_sum_std,2.0,16.5
new_category_2_3_mean_std,0.0,0.0
new_category_2_4_sum_std,0.0,0.5
new_category_2_4_mean_std,0.0,2.0
new_category_2_5_sum_std,0.5,13.5
new_category_2_5_mean_std,0.0,0.5
hist_category_3_nunique,46.0,77.0
hist_category_3_A_sum,8.0,20.0
hist_category_3_A_mean,9.0,53.0
hist_category_3_B_sum,99.5,100.0
hist_category_3_B_mean,94.0,100.0
hist_category_3_C_sum,92.0,100.0
hist_category_3_C_mean,99.0,100.0
hist_category_3_D_sum,5.5,39.0
hist_category_3_D_mean,0.0,4.0
new_category_3_nunique,0.0,0.0
new_category_3_A_sum,85.5,100.0
new_category_3_A_mean,54.5,67.0
new_category_3_B_sum,0.5,50.5
new_category_3_B_mean,99.5,100.0
new_category_3_C_sum,15.0,18.0
new_category_3_C_mean,48.5,99.0
new_category_3_D_sum,1.0,28.0
new_category_3_D_mean,0.5,0.5
hist_category_3_nunique_mean,48.0,100.0
hist_category_3_A_sum_mean,0.0,4.0
hist_category_3_A_mean_mean,57.0,95.0
hist_category_3_B_sum_mean,99.5,100.0
hist_category_3_B_mean_mean,98.0,100.0
hist_category_3_C_sum_mean,82.0,100.0
hist_category_3_C_mean_mean,91.5,100.0
hist_category_3_D_sum_mean,0.5,33.5
hist_category_3_D_mean_mean,0.0,1.0
hist_category_3_nunique_std,15.5,100.0
hist_category_3_A_sum_std,15.5,41.0
hist_category_3_A_mean_std,0.0,17.5
hist_category_3_B_sum_std,99.0,100.0
hist_category_3_B_mean_std,34.5,99.5
hist_category_3_C_sum_std,67.5,100.0
hist_category_3_C_mean_std,84.0,100.0
hist_category_3_D_sum_std,0.0,37.0
hist_category_3_D_mean_std,2.5,42.0
new_category_3_nunique_mean,12.0,40.0
new_category_3_A_sum_mean,98.0,100.0
new_category_3_A_mean_mean,0.0,0.0
new_category_3_B_sum_mean,70.0,99.0
new_category_3_B_mean_mean,100.0,100.0
new_category_3_C_sum_mean,54.0,98.0
new_category_3_C_mean_mean,3.5,58.5
new_category_3_D_sum_mean,2.5,4.5
new_category_3_D_mean_mean,1.0,7.5
new_category_3_nunique_std,10.0,6.5
new_category_3_A_sum_std,84.0,94.5
