Feature,importance,fold
hist_month_diff_mean,1400.6,3
new_hist_purchase_amount_max,1244.4,3
hist_authorized_flag_mean,1185.0,3
hist_category_1_sum,1004.4,3
new_hist_purchase_date_uptonow,962.0,3
hist_month_lag_mean,897.6,3
hist_purchase_date_min,881.4,3
hist_purchase_amount_mean,830.8,3
new_hist_purchase_amount_mean,810.0,3
hist_month_lag_var,766.4,3
hist_installments_sum,766.4,3
hist_purchase_date_max,759.4,3
hist_category_1_mean,752.2,3
hist_merchant_id_nunique,736.6,3
hist_month_nunique,713.6,3
hist_purchase_date_average,708.8,3
hist_purchase_amount_min,706.2,3
new_hist_month_lag_mean,697.0,3
hist_purchase_date_diff,679.0,3
hist_first_buy,669.2,3
hist_weekend_mean,668.2,3
hist_weekofyear_nunique,658.8,3
hist_purchase_amount_max,654.6,3
hist_purchase_date_uptonow,647.4,3
new_hist_purchase_date_diff,619.2,3
hist_category_3_mean_mean,607.2,3
new_hist_purchase_amount_var,602.2,3
new_hist_purchase_amount_min,576.2,3
new_hist_purchase_date_average,572.0,3
new_hist_category_1_mean,555.8,3
hist_purchase_amount_sum,533.6,3
hist_purchase_amount_var,526.8,3
hist_installments_mean,506.0,3
hist_category_2_mean_mean,500.8,3
hist_installments_var,491.4,3
new_hist_first_buy,472.8,3
new_hist_purchase_date_max,468.4,3
new_hist_month_diff_mean,448.0,3
new_hist_purchase_date_min,432.2,3
new_hist_purchase_amount_sum,396.8,3
hist_merchant_category_id_nunique,396.4,3
elapsed_time,389.6,3
hist_authorized_flag_sum,362.6,3
hist_weekend_sum,358.0,3
purchase_amount_total,348.2,3
weekofyear,330.0,3
hist_subsector_id_nunique,324.2,3
new_hist_category_1_sum,310.6,3
hist_hour_nunique,298.2,3
hist_card_id_size,292.2,3
feature_1,277.8,3
new_hist_month_lag_var,246.2,3
card_id_total,245.6,3
month,240.8,3
new_hist_installments_var,222.6,3
new_hist_installments_mean,210.2,3
dayofweek,200.8,3
new_hist_merchant_category_id_nunique,188.0,3
new_hist_weekend_mean,164.0,3
new_hist_category_2_mean_mean,144.0,3
hist_installments_max,139.4,3
feature_2,133.0,3
new_hist_installments_sum,131.4,3
new_hist_category_3_mean_mean,127.0,3
new_hist_installments_min,125.4,3
new_hist_merchant_id_nunique,121.4,3
hist_month_lag_max,110.6,3
new_hist_subsector_id_nunique,101.6,3
new_hist_installments_max,96.4,3
hist_month_lag_min,92.4,3
hist_installments_min,91.4,3
new_hist_card_id_size,81.6,3
new_hist_hour_nunique,80.6,3
new_hist_month_lag_max,78.0,3
feature_3,63.2,3
new_hist_weekofyear_nunique,61.0,3
new_hist_year_nunique,58.6,3
new_hist_dayofweek_nunique,53.8,3
new_hist_weekend_sum,44.4,3
hist_dayofweek_nunique,37.4,3
new_hist_month_lag_min,23.4,3
new_hist_month_nunique,13.6,3
hist_year_nunique,13.0,3
